dataset,accuracy
jang,91.3194444444444
jang,92.7083333333333
jang,90.625
jang,92.3611111111111
jang,91.6666666666667
jang,90.625
jang,90.9722222222222
jang,90.2777777777778
jang,93.4027777777778
jang,91.3194444444444
jang,93.75
jang,88.8888888888889
jang,90.625
jang,92.7083333333333
jang,91.6666666666667
jang,90.9722222222222
jang,92.0138888888889
jang,90.2777777777778
jang,93.75
jang,90.2777777777778
jang,89.5833333333333
jang,92.3611111111111
jang,92.0138888888889
jang,88.1944444444444
jang,92.0138888888889
jang,92.7083333333333
jang,92.0138888888889
jang,92.0138888888889
jang,90.9722222222222
jang,91.3194444444444
jang,89.9305555555556
jang,90.625
jang,90.625
jang,88.8888888888889
jang,90.625
jang,87.5
jang,89.9305555555556
jang,91.6666666666667
jang,90.2777777777778
jang,92.3611111111111
jang,92.7083333333333
jang,93.75
jang,93.0555555555556
jang,91.3194444444444
jang,90.2777777777778
jang,91.6666666666667
jang,93.75
jang,86.1111111111111
jang,92.0138888888889
jang,93.0555555555556
jang,90.625
jang,90.2777777777778
jang,92.3611111111111
jang,90.2777777777778
jang,91.3194444444444
jang,89.2361111111111
jang,89.2361111111111
jang,89.9305555555556
jang,85.7638888888889
jang,89.2361111111111
jang,91.6666666666667
jang,94.0972222222222
jang,89.9305555555556
jang,94.0972222222222
jang,90.625
jang,91.3194444444444
jang,90.2777777777778
jang,89.5833333333333
jang,92.7083333333333
jang,93.0555555555556
jang,90.9722222222222
jang,88.8888888888889
jang,93.0555555555556
jang,90.2777777777778
jang,92.7083333333333
jang,92.3611111111111
jang,91.6666666666667
jang,95.1388888888889
jang,91.3194444444444
jang,92.0138888888889
jang,90.625
jang,93.4027777777778
jang,94.0972222222222
jang,91.6666666666667
jang,92.7083333333333
jang,92.7083333333333
jang,90.2777777777778
jang,94.7916666666667
jang,92.7083333333333
jang,90.2777777777778
jang,91.3194444444444
jang,93.0555555555556
jang,90.2777777777778
jang,90.2777777777778
jang,92.3611111111111
jang,91.6666666666667
jang,94.4444444444444
jang,89.9305555555556
jang,93.4027777777778
jang,90.2777777777778
treutlein,92.0987654320988
treutlein,93.8271604938272
treutlein,94.8148148148148
treutlein,92.8395061728395
treutlein,95.5555555555556
treutlein,93.0864197530864
treutlein,93.5802469135802
treutlein,94.320987654321
treutlein,94.0740740740741
treutlein,94.0740740740741
treutlein,95.0617283950617
treutlein,93.3333333333333
treutlein,95.0617283950617
treutlein,94.320987654321
treutlein,95.3086419753086
treutlein,94.5679012345679
treutlein,95.0617283950617
treutlein,93.3333333333333
treutlein,93.3333333333333
treutlein,92.3456790123457
treutlein,93.0864197530864
treutlein,95.3086419753086
treutlein,95.0617283950617
treutlein,93.5802469135802
treutlein,93.0864197530864
treutlein,93.5802469135802
treutlein,93.5802469135802
treutlein,97.037037037037
treutlein,93.3333333333333
treutlein,93.8271604938272
treutlein,95.5555555555556
treutlein,92.5925925925926
treutlein,95.0617283950617
treutlein,91.358024691358
treutlein,92.3456790123457
treutlein,94.8148148148148
treutlein,92.5925925925926
treutlein,90.8641975308642
treutlein,94.320987654321
treutlein,92.5925925925926
treutlein,94.0740740740741
treutlein,91.8518518518518
treutlein,93.8271604938272
treutlein,92.3456790123457
treutlein,95.0617283950617
treutlein,95.8024691358025
treutlein,92.3456790123457
treutlein,94.320987654321
treutlein,94.0740740740741
treutlein,94.0740740740741
treutlein,94.320987654321
treutlein,92.0987654320988
treutlein,93.3333333333333
treutlein,95.3086419753086
treutlein,94.8148148148148
treutlein,91.8518518518518
treutlein,93.8271604938272
treutlein,93.0864197530864
treutlein,91.8518518518518
treutlein,94.8148148148148
treutlein,95.0617283950617
treutlein,93.8271604938272
treutlein,92.5925925925926
treutlein,95.0617283950617
treutlein,92.5925925925926
treutlein,94.8148148148148
treutlein,92.8395061728395
treutlein,91.6049382716049
treutlein,93.0864197530864
treutlein,94.0740740740741
treutlein,95.3086419753086
treutlein,94.5679012345679
treutlein,91.6049382716049
treutlein,94.5679012345679
treutlein,95.8024691358025
treutlein,94.5679012345679
treutlein,94.5679012345679
treutlein,94.5679012345679
treutlein,94.0740740740741
treutlein,94.320987654321
treutlein,92.5925925925926
treutlein,94.5679012345679
treutlein,94.8148148148148
treutlein,94.8148148148148
treutlein,93.3333333333333
treutlein,94.8148148148148
treutlein,94.0740740740741
treutlein,93.0864197530864
treutlein,93.8271604938272
treutlein,95.3086419753086
treutlein,93.0864197530864
treutlein,95.8024691358025
treutlein,93.8271604938272
treutlein,90.1234567901235
treutlein,95.5555555555556
treutlein,94.8148148148148
treutlein,95.0617283950617
treutlein,94.8148148148148
treutlein,92.5925925925926
treutlein,94.5679012345679
trapnell,78.494623655914
trapnell,73.9247311827957
trapnell,76.3440860215054
trapnell,76.3440860215054
trapnell,75.5376344086021
trapnell,76.0752688172043
trapnell,76.8817204301075
trapnell,74.1935483870968
trapnell,75.2688172043011
trapnell,75
trapnell,77.4193548387097
trapnell,74.1935483870968
trapnell,76.3440860215054
trapnell,76.3440860215054
trapnell,77.6881720430108
trapnell,74.7311827956989
trapnell,74.7311827956989
trapnell,74.4623655913979
trapnell,78.494623655914
trapnell,76.0752688172043
trapnell,75.5376344086021
trapnell,73.6559139784946
trapnell,77.4193548387097
trapnell,77.6881720430108
trapnell,74.4623655913979
trapnell,77.9569892473118
trapnell,75.2688172043011
trapnell,77.6881720430108
trapnell,75
trapnell,77.1505376344086
trapnell,74.4623655913979
trapnell,72.5806451612903
trapnell,74.4623655913979
trapnell,73.3870967741936
trapnell,73.1182795698925
trapnell,74.4623655913979
trapnell,77.1505376344086
trapnell,73.3870967741936
trapnell,75.8064516129032
trapnell,77.6881720430108
trapnell,76.3440860215054
trapnell,76.0752688172043
trapnell,76.8817204301075
trapnell,77.4193548387097
trapnell,78.2258064516129
trapnell,75.5376344086021
trapnell,77.9569892473118
trapnell,75.5376344086021
trapnell,78.2258064516129
trapnell,76.6129032258064
trapnell,77.6881720430108
trapnell,74.7311827956989
trapnell,77.4193548387097
trapnell,77.1505376344086
trapnell,76.8817204301075
trapnell,76.6129032258064
trapnell,73.9247311827957
trapnell,77.6881720430108
trapnell,75.5376344086021
trapnell,76.3440860215054
trapnell,74.7311827956989
trapnell,76.8817204301075
trapnell,74.7311827956989
trapnell,74.4623655913979
trapnell,77.9569892473118
trapnell,75.8064516129032
trapnell,72.8494623655914
trapnell,74.4623655913979
trapnell,74.7311827956989
trapnell,77.1505376344086
trapnell,77.4193548387097
trapnell,74.4623655913979
trapnell,73.3870967741936
trapnell,79.8387096774193
trapnell,75.5376344086021
trapnell,75.5376344086021
trapnell,76.3440860215054
trapnell,76.0752688172043
trapnell,76.0752688172043
trapnell,76.8817204301075
trapnell,77.9569892473118
trapnell,76.0752688172043
trapnell,72.8494623655914
trapnell,77.9569892473118
trapnell,72.0430107526882
trapnell,78.2258064516129
trapnell,77.6881720430108
trapnell,73.6559139784946
trapnell,77.4193548387097
trapnell,74.7311827956989
trapnell,72.8494623655914
trapnell,74.4623655913979
trapnell,76.8817204301075
trapnell,75.8064516129032
trapnell,73.9247311827957
trapnell,76.8817204301075
trapnell,72.3118279569892
trapnell,76.8817204301075
trapnell,77.9569892473118
trapnell,73.9247311827957
